Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0037728	7060	1687	2265	7960	2586	2988	3556	2636	3227	4059	3617	3662	3459.67	3140	3779	1.206	0.27	2.915	0.00355641681304957	0.0245052485652258	0.0064	0.0053	0.0059	0.0059	TRUE	NA
FBgn0028491	282	108	120	404	164	182	142	169	171	206	229	223	190.05	161	219	1.376	0.461	2.912	0.00358939580393823	0.0247134190664367	0	0.0183	0.0124	0.0124	TRUE	NA
FBgn0250757	140	35	54	248	77	75	71	55	77	126	108	92	88.04	68	109	1.618	0.694	2.91	0.00361698409550704	0.0248650253832778	0.0061	0.0342	0.0281	0.0281	TRUE	NA
FBgn0039680	2403	822	923	2753	1159	1223	1210	1285	1315	1404	1621	1499	1389	1270	1508	1.185	0.245	2.906	0.00366570861740129	0.0251419185509935	0	0.0064	0.0043	0.0043	TRUE	NA
FBgn0033212	4208	1594	1543	5074	1960	2194	2119	2491	2199	2587	2741	2689	2471.18	2270	2672	1.18	0.239	2.904	0.00368175511193876	0.0252132462803781	0.0021	0.0056	0.0044	0.0044	TRUE	NA
FBgn0020369	5778	1926	2493	6805	2789	3144	2910	3010	3552	3470	3901	3854	3449.48	3157	3742	1.185	0.245	2.894	0.00380483204318949	0.0259764144844665	0.004	0.0053	0.0048	0.0048	TRUE	NA
FBgn0050389	5565	1815	1700	6008	2353	2722	2803	2837	2422	3064	3291	3336	2958.79	2687	3230	1.2	0.263	2.893	0.00381486388873591	0.0260250072776254	0.0056	0.0054	0.0056	0.0056	TRUE	NA
FBgn0030884	138	45	45	195	83	89	70	70	64	99	116	109	88.09	68	108	1.572	0.653	2.889	0.00386936142058188	0.0263696978437325	0	0.0342	0.0243	0.0243	TRUE	NA
FBgn0039273	425	126	111	629	181	174	214	197	158	321	253	213	226.05	190	262	1.384	0.469	2.888	0.00387424900010941	0.0263696978437325	0.0074	0.0161	0.014	0.014	TRUE	NA
FBgn0034877	2403	869	961	2926	1170	1241	1210	1358	1369	1492	1636	1521	1431.21	1312	1550	1.184	0.243	2.885	0.0039181138738923	0.0266276688689941	0	0.0064	0.0044	0.0044	TRUE	NA
