Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0035539	28	3	5	53	23	39	14	5	7	27	32	48	22.15	9	36	3.729	1.899	3.486	0.000491015363825597	0.00836228268756136	0.1176	0.155	0.1433	0.1433	TRUE	1.3654
FBgn0051909	2	3	0	86	15	2	1	5	0	44	21	2	12.16	2	22	13.53	3.758	3.481	0.000499901540217233	0.00849737217312003	1.212	0.2717	0.5112	0.5112	TRUE	0.135
FBgn0037028	562	141	189	783	244	363	283	220	269	399	341	445	326.37	257	395	1.526	0.61	3.473	0.00051406050401459	0.00867185020692794	0.0128	0.0225	0.0188	0.0188	TRUE	0.1596
FBgn0261109	441	200	227	801	334	366	222	313	323	408	467	449	363.72	286	441	1.557	0.638	3.472	0.000516710496494256	0.00870007635590612	0.0207	0.0215	0.0212	0.0212	TRUE	0.5028
FBgn0250906	3552	1568	1773	5518	2585	2995	1789	2450	2526	2814	3615	3671	2811.01	2255	3367	1.494	0.579	3.468	0.000525282520320664	0.00881109493125453	0.0258	0.014	0.0197	0.0197	TRUE	0.4056
FBgn0023477	2535	1012	1180	3653	1649	1937	1277	1582	1681	1863	2306	2374	1847.17	1513	2181	1.443	0.529	3.461	0.000537410063901985	0.00896387909957861	0.017	0.0145	0.0162	0.0162	TRUE	0.234
FBgn0035523	79	10	23	180	65	41	40	16	33	92	91	50	53.52	30	78	2.56	1.356	3.462	0.000537135451054731	0.00896387909957861	0.1186	0.0717	0.086	0.086	TRUE	0.9019
FBgn0031688	42	5	16	116	40	30	21	8	23	59	56	37	33.94	17	51	2.854	1.513	3.46	0.000539676857047991	0.0089848631135074	0.0743	0.1056	0.0976	0.0976	TRUE	0.6882
FBgn0037607	7522	3030	3393	10175	5200	5962	3789	4735	4835	5189	7273	7308	5521.27	4453	6590	1.48	0.566	3.457	0.000545267008139015	0.00906099485353397	0.0251	0.0134	0.0191	0.0191	TRUE	0.4252
FBgn0039651	84	44	35	181	84	82	42	69	50	92	117	101	78.54	54	103	1.964	0.974	3.445	0.000570913672626025	0.0094519109332342	0.0226	0.0529	0.0422	0.0422	TRUE	0.4231
FBgn0264305	1879	731	694	2737	955	1139	946	1142	989	1396	1336	1396	1200.86	1026	1376	1.345	0.428	3.445	0.000572030830456219	0.00945283600533125	0.0041	0.0155	0.0102	0.0102	TRUE	0.1141
FBgn0032026	4135	1543	1596	5733	2153	2334	2083	2411	2274	2923	3011	2861	2593.95	2256	2932	1.301	0.38	3.442	0.00057690126947905	0.00949807690804048	0.0024	0.0141	0.0083	0.0083	TRUE	0.057
