"ID","RNAi_1","RNAi_3","RNAi_4","Untreated_1","Untreated_3","Untreated_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0334309",71.0148470788354,138.95315205312,87.0751473956022,420.037154724708,339.193141871791,411.979346819313,4.58527230335357e-09,2.86219910889268,2.5771539474784e-13,7.27122837742378,8.33863486799128
"FBtr0077310",401.57593642835,442.297928419131,516.543943657888,270.328069562884,205.065535218805,253.71577975821,0.00673356251309242,-1.29912351285579,3.78460123262838e-07,0.406373008857976,2.17175510361795
"FBtr0076427",1398.83466897614,1405.17385175203,1327.10977755186,845.374134689742,843.855430808934,854.888768280144,1.64675603684054e-09,-1.00992139903817,9.2555982286451e-14,0.496573301305565,8.78337073580403
"FBtr0346711",1172.57015878367,1166.40877266212,1174.65155229534,580.061426473035,644.042000173477,547.611508952279,4.23662974263625e-15,-1.42577854239722,2.38119927081624e-19,0.372218445947826,14.3729794892103
"FBtr0071048",294.415949279161,292.234503202276,295.234221348688,478.559301640912,525.617135325552,431.404292077829,0.00792419537582778,1.01639002261871,4.45379686141399e-07,2.02285095154247,2.10104482520847
"FBtr0082139",45.0610501591548,73.2068182194881,82.3309936955227,291.598842110871,269.243004280397,229.593737364283,8.74093019722031e-11,2.86568974545934,4.91284296156717e-15,7.28884259592396,10.0584423479121
"FBtr0089263",232.20419414843,232.315224863236,236.671246324142,129.708866156033,120.745348507033,117.756290969121,3.13072975161682e-05,-1.34212392964413,1.75962778305801e-09,0.394439536029631,4.50435441959071
"FBtr0303787",349.131758605044,394.637559151779,287.703368572794,704.884714824329,876.17064617023,617.536211213618,0.000191915344559929,1.57568684655803,1.07866088444205e-08,2.98077369238578,3.71689029993214
"FBtr0300612",409.051788912244,439.566985639098,398.040160145364,720.659384520947,715.058504748896,668.517200078388,1.71070665423159e-06,1.09055282162793,9.61503290372974e-11,2.12955622631826,5.76682445531617
"FBtr0084028",192.286225579006,171.886054734874,194.606614435043,307.022052482404,306.497607196038,360.162422291886,0.00626440793606769,1.15463866377578,3.52091273385099e-07,2.22628557295402,2.20311996892352
"FBtr0308232",377.552887177652,432.758000887483,410.844157945165,233.411055396927,207.034591105833,213.517988572485,6.95891408306953e-06,-1.30098943337909,3.91126016359573e-10,0.405847762997474,5.15745852540743
"FBtr0307521",362.101010504054,427.699646886659,415.235574929823,800.45569374201,716.561347054717,601.840078753065,0.00306269790823041,1.17517339094579,1.7213904610108e-07,2.25820019609952,2.51389583808037
"FBtr0307520",932.85402492447,904.916276680543,1027.92211611238,1936.07962176679,2218.98318121744,1856.5715004463,1.08494231281094e-15,1.54255499855942,6.0979221718241e-20,2.91309953929752,14.9645933529619
"FBtr0336616",228.172020693999,188.260154033474,163.054674288271,506.514764975544,688.898443932556,523.881482691007,1.37798785054221e-10,2.26575884097596,7.74498567076333e-15,4.80907305001374,9.86075461150367
"FBtr0078204",101.779138689884,97.6447217637888,112.100385348418,195.233020260082,200.393640335,201.449322342656,0.000169923345309087,1.358378375249,9.5505477354478e-09,2.56396821141486,3.76974695048695
"FBtr0304914",341.916988277961,329.694967466109,272.086378407622,95.4727109895055,113.885240119562,144.063815226974,1.86950406880228e-07,-2.05399722534311,1.0507554343538e-11,0.240815936652781,6.72827358530706
"FBtr0308065",460.340189945166,416.004593053138,446.400959484863,1252.49734768257,1202.3304699027,1338.83090173598,2.96577128015093e-38,2.19333539324388,1.66691281483303e-42,4.57361647816948,37.5278623447434
"FBtr0301403",1021.60067153903,1054.27923386684,1081.8020413238,2023.75519526434,2034.52165611523,2289.07499969429,4.22246231840242e-19,1.45283402068079,2.37323646492942e-23,2.73745266934582,18.374434217419
"FBtr0072102",201.209135797318,228.995389107923,244.82412151428,89.7456940381281,79.0337718138639,63.4155349653636,7.12167453194994e-10,-2.23051166611118,4.00273973243589e-14,0.21308313749022,9.1474178779249
"FBtr0306244",104.704702258711,101.912689661653,142.921802299497,299.429037396359,273.202926464948,292.47530529518,8.39714161923764e-08,1.88909924866744,4.71961646764706e-12,3.70403889675205,7.07586852230128
"FBtr0100595",125.88015206271,102.359520464531,144.982800246908,311.23040062087,311.545467454693,341.470305387593,6.72828681195838e-10,1.97588632886014,3.78163602290826e-14,3.93369834453654,9.17209550380409
"FBtr0335178",2951.36316360921,2145.03953561549,2789.2966843508,4448.27268116743,5090.19480610053,5439.77748738909,2.22087452262916e-05,1.3355526630346,1.24824332431945e-09,2.52372141169443,4.65347597799775
"FBtr0335180",1712.72820157234,2051.77095911577,1762.07918288946,1214.88083261091,1145.00390500953,1042.1174393142,9.95077527731276e-05,-1.00951260487214,5.59283682402921e-09,0.496714027533561,4.00214308151134
"FBtr0087295",383.805612202622,365.792281755839,359.300753731044,893.41492748376,878.772514688736,962.909673100559,2.3741690312132e-26,1.88067965880281,1.33440255801101e-30,3.68248502581058,25.6244883642736
"FBtr0088663",20375.0398700104,27490.6195945638,23409.153928679,13350.5103202443,9974.11998407634,10086.3261026015,1.36702356818228e-06,-1.57681469383478,7.68336088231949e-11,0.335221202431587,5.86422399790966
"FBtr0302938",115.733056113445,87.1476648619926,87.7988381927448,320.76142236024,351.884177282729,376.17810702276,1.45894268781886e-19,2.67738658483591,8.19999262488118e-24,6.39696054393762,18.835961768321
"FBtr0081958",2.54885482688745,7.50928979507342,5.71411304351476,49.3329260779501,38.3387460414567,51.6357729287331,5.57720234817613e-15,4.72262779565905,3.13466858598029e-19,26.402960430786,14.2535835984523
"FBtr0306107",513.915706933983,618.556323582722,514.825389303765,1360.55046381769,1583.32823134124,1210.55674054178,6.83204102885371e-15,1.92578320256153,3.83995111783594e-19,3.7994305385465,14.1654495342173
"FBtr0308644",54.5122229574036,72.1023263434417,44.6187427585168,19.1427191857788,15.709541066982,23.9435558669908,0.00600626568802475,-2.2668915577658,3.37582379048154e-07,0.207777082672767,2.22139546063338
